equip_id_raw,equip_id_norm,device_name_norm,device_name_raw,gcb_count,multi_device,equip_aliases,fab_or_line,notes
CSTN61,CSTN61,INTEGER_XP,INTEGER XP,80,False,CSTN61,,
All,All,ALL,ALL,78,True,All,,models=ALL|ECOLITE III|GENEVA STP300 xp|GENEVA xp|HDW 48L|OMNIS|PRECIA|SUPRA N|SUPRA Vm|SUPRA Vplus|SUPRA XP
SGGVLF0100,SGGVLF0100,GENEVA_STP300_XP,GENEVA STP300 xp,69,True,SGGVLF0100,,models=GENEVA STP300 xp|GENEVA xp
WPSK451400,WPSK451400,OMNIS,OMNIS,64,False,WPSK451400,,
ALL,ALL,ECOLITE3000,Ecolite3000,53,True,ALL,,models=Ecolite3000|GENEVA xp|HDW|INTEGER plus|OMNIS|OMNIS plus|PRECIA|SUPRA N|SUPRA Nm|SUPRA V|SUPRA Vm|SUPRA Vplus|SUPRA XP|SUPRA Ⅴ|TERA 21|TERA21
DES002,DES002,ECOLITE_3000,ECOLITE 3000,51,True,DES002,,models=ECOLITE 3000|ECOLITE3000|Ecolite3000
EP11-02,EP11-02,PRECIA,PRECIA,48,False,EP11-02|EP1102,inferred_from_prefix,
5EBP2901,5EBP2901,PRECIA,PRECIA,45,False,5EBP2901,,
4EBED009,4EBED009,PRECIA,PRECIA,44,False,4EBED009,,
SGGVLF0200,SGGVLF0200,GENEVA_STP300_XP,GENEVA STP300 xp,42,True,SGGVLF0200,,models=GENEVA STP300 xp|GENEVA xp
APT401,APT401,SUPRA_XP,SUPRA XP,40,False,APT401,,
DSP202,DSP202,ECOLITE_3000,ECOLITE 3000,39,True,DSP202,,models=ECOLITE 3000|ECOLITE3000
WPSK411700,WPSK411700,OMNIS,OMNIS,38,False,WPSK411700,,
WPSK459600,WPSK459600,SUPRA_V,SUPRA V,37,True,WPSK459600,,models=SUPRA V|SUPRA Vplus
DES004,DES004,ECOLITE_3000,ECOLITE 3000,37,True,DES004,,models=ECOLITE 3000|ECOLITE3000
ASH212A,ASH212A,SUPRA_V,SUPRA V,36,True,ASH212A,,models=SUPRA V|SUPRA Vplus
SPO499,SPO499,OMNIS,OMNIS,36,False,SPO499,,
SFP701,SFP701,SUPRA_VPLUS,SUPRA Vplus,34,False,SFP701,,
6CDCA711,6CDCA711,INTEGER_XP,INTEGER XP,33,False,6CDCA711,,
PSX4700,PSX4700,SUPRA_XP,SUPRA XP,33,False,PSX4700,,
790-04,790-04,ECOLITE_3000,ECOLITE 3000,31,True,790-04|79004,,models=ECOLITE 3000|ECOLITE3000
EPAS14,EPAS14,SUPRA_VM,SUPRA Vm,28,False,EPAS14,inferred_from_prefix,
WF-ETCH37,WF-ETCH37,DAS2000,DAS2000,27,True,WF-ETCH37|WFETCH37,,models=DAS2000|DAS2000E|OMNIS
UDES92,UDES92,ECOLITE_3000,ECOLITE 3000,27,True,UDES92,,models=ECOLITE 3000|ECOLITE3000
URFL17,URFL17,GENEVA_STP300_XP,GENEVA STP300 xp,27,True,URFL17,,models=GENEVA STP300 xp|GENEVA xp
WDBVEC05,WDBVEC05,PRECIA,PRECIA,25,False,WDBVEC05,,
DES001,DES001,ECOLITE_3000,ECOLITE 3000,25,True,DES001,,models=ECOLITE 3000|ECOLITE3000|Ecolite2000
DSP203,DSP203,ECOLITE_3000,ECOLITE 3000,24,True,DSP203,,models=ECOLITE 3000|ECOLITE3000
