qid,split,system_id,status,skip_reason,query_doc_type,canonical_target_device,parsed_hard_devices,parsed_hard_equip_ids,family_devices,raw_cont@1,raw_cont@3,raw_cont@5,raw_cont@10,adj_cont@1,adj_cont@3,adj_cont@5,adj_cont@10,shared@1,shared@3,shared@5,shared@10,ce@1,ce@3,ce@5,ce@10,hit@1,hit@3,hit@5,hit@10,mrr,top_doc_ids,in_corpus_top_docs
A-E-0001,explicit,B0,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.6,0.3,1.0,0.6666666666666666,0.6,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_pio_sensor_board|global_sop_integer_plus_all_efem_pio_sensor_board|supra_xp_all_trouble_shooting_guide_trace_ctc_abnormal|global_sop_supra_xp_all_sub_unit_gas_box_board,True
A-E-0001,explicit,B1,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_pio_sensor_board|global_sop_integer_plus_all_efem_pio_sensor_board,True
A-E-0001,explicit,B2,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_pio_sensor_board|global_sop_integer_plus_all_efem_pio_sensor_board|supra_xp_all_trouble_shooting_guide_trace_ctc_abnormal,True
A-E-0001,explicit,B3,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_pio_sensor_board|global_sop_integer_plus_all_efem_pio_sensor_board|supra_xp_all_trouble_shooting_guide_trace_ctc_abnormal,True
A-E-0001,explicit,B4,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,0.6,0.3,1.0,0.6666666666666666,0.4,0.2,0.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_pio_sensor_board|global_sop_supra_xp_all_pm_device_net_board|global_sop_supra_xp_all_sub_unit_gas_box_board,True
A-E-0001,explicit,P1,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_sop_supra_xp_all_tm_device_net_board|global_sop_supra_xp_all_efem_controller|global_sop_precia_all_efem_sensor_board|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_pm_device_net_board,True
A-E-0002,explicit,B0,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,0.8,0.4,0.0,0.3333333333333333,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_robot_sr8241|global_sop_supra_xp_all_pm_pin_assy|global_sop_supra_xp_all_pm_temp_controller|supra_xp_all_trouble_shooting_guide_trace_ctc_abnormal,True
A-E-0002,explicit,B1,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.6,0.3,1.0,0.6666666666666666,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|40069928|global_sop_supra_xp_all_efem_robot_sr8241|40034602,True
A-E-0002,explicit,B2,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,0.8,0.4,0.0,0.3333333333333333,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_efem_robot_sr8241|global_sop_supra_xp_all_pm_temp_controller|global_sop_supra_xp_all_pm_pin_assy,True
A-E-0002,explicit,B3,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.8,0.4,0.0,0.0,0.4,0.2,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_pm_temp_controller|global_sop_supra_xp_all_pm_pin_assy|global_sop_supra_xp_all_efem_robot_sr8241,True
A-E-0002,explicit,B4,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.6,0.3,1.0,0.6666666666666666,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_pm_pin_assy|global_sop_supra_xp_all_efem_pressure_switch|global_sop_supra_xp_all_efem_robot_sr8241,True
A-E-0002,explicit,P1,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.4,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu,True
A-E-0003,explicit,B0,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.8,0.0,0.6666666666666666,0.6,0.4,1.0,0.3333333333333333,0.4,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_pm_preventive_maintenance|global_sop_supra_xp_all_pm_chamber_safety_cover|global_sop_supra_xp_all_pm_cip_chamber|global_sop_supra_xp_all_pm_manometer|global_sop_supra_xp_all_sub_unit_igs_block|global_sop_supra_xp_all_tm_ctc|global_sop_supra_xp_all_tm_robot,True
A-E-0003,explicit,B1,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,0.6,0.3,0.0,0.3333333333333333,0.2,0.1,1.0,0.6666666666666666,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|set_up_manual_zedius_xp_supra_xp|global_sop_supra_xp_all_pm_device_net_board|global_sop_supra_xp_all_tm_dc_power_supply,True
A-E-0003,explicit,B2,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.8,0.0,0.6666666666666666,0.8,0.4,1.0,0.3333333333333333,0.2,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_pm_preventive_maintenance|global_sop_supra_xp_all_pm_cip_chamber|global_sop_supra_xp_all_pm_chamber_safety_cover|global_sop_supra_xp_all_sub_unit_igs_block|global_sop_supra_xp_all_pm_manometer|global_sop_supra_xp_all_tm_ctc|global_sop_supra_xp_all_tm_robot,True
A-E-0003,explicit,B3,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.8,0.0,0.3333333333333333,0.4,0.4,1.0,0.6666666666666666,0.6,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_pm_preventive_maintenance|global_sop_supra_xp_all_pm_manometer|global_sop_supra_xp_all_tm_robot|global_sop_supra_xp_all_sub_unit_igs_block|global_sop_supra_xp_all_pm_cip_chamber|global_sop_supra_xp_all_tm_ctc|global_sop_supra_xp_all_pm_chamber_safety_cover,True
A-E-0003,explicit,B4,ok,,sop,SUPRA XP,ZEDIUS XP,,ZEDIUS XP,1.0,1.0,1.0,0.8,0.0,0.3333333333333333,0.4,0.4,1.0,0.6666666666666666,0.6,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_pm_preventive_maintenance|global_sop_supra_xp_all_pm_manometer|global_sop_supra_xp_all_tm_robot|global_sop_supra_xp_all_sub_unit_igs_block|global_sop_supra_xp_all_pm_cip_chamber|global_sop_supra_xp_all_tm_ctc|global_sop_supra_xp_all_pm_chamber_safety_cover,True
