q_id,split,scope_observability,system_id,status,skip_reason,intent_primary,target_scope_level,allowed_devices,allowed_equips,shared_allowed,family_allowed,parsed_hard_devices,parsed_hard_equip_ids,family_devices,allowed_scope_size,latency_ms,raw_cont@1,adj_cont@1,shared@1,ce@1,hit@1,raw_cont@3,adj_cont@3,shared@3,ce@3,hit@3,raw_cont@5,adj_cont@5,shared@5,ce@5,hit@5,raw_cont@10,adj_cont@10,shared@10,ce@10,hit@10,mrr,top_doc_ids,in_corpus_top_docs
A-q006,test,explicit_device,B0,ok,,procedure,device,SUPRA_N,,True,True,SUPRA N,,SUPRA N,2,92.67,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.4,0.4,0.0,1.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,global_sop_supra_n_all_pm_fcip_r3|global_sop_supra_n_series_all_pm_top_lid|set_up_manual_ecolite_3000|global_sop_supra_n_series_all_pm_process_kit|set_up_manual_ecolite_ii_400|global_sop_supra_xp_all_efem_robot_sr8241|global_sop_integer_plus_all_am_flange_adaptor|set_up_manual_ecolite_2000|global_sop_integer_plus_all_pm_baffle_heater,True
A-q006,test,explicit_device,B2,ok,,procedure,device,SUPRA_N,,True,True,SUPRA N,,SUPRA N,2,3346.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.6,0.6,0.0,1.0,0.0,0.0,global_sop_supra_n_series_all_pm_top_lid|global_sop_supra_n_all_pm_fcip_r3|global_sop_supra_n_series_all_pm_process_kit|set_up_manual_ecolite_3000|set_up_manual_ecolite_ii_400|set_up_manual_ecolite_2000|global_sop_integer_plus_all_pm_baffle_heater|set_up_manual_supra_vm|global_sop_supra_xp_all_efem_robot_sr8241,True
A-q006,test,explicit_device,B4,ok,,procedure,device,SUPRA_N,,True,True,SUPRA N,,SUPRA N,2,2746.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,global_sop_supra_n_series_all_pm_process_kit|global_sop_supra_n_series_all_pm_top_lid|global_sop_supra_n_series_all_pm_gas_feed_through|global_sop_supra_n_all_sub_unit_mfc|global_sop_supra_n_all_pm_fcip_r5|global_sop_supra_n_all_pm_fcip_r3,True
A-q006,test,explicit_device,P1,ok,,procedure,device,SUPRA_N,,True,True,SUPRA N,,SUPRA N,2,253.46,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.4,0.0,0.7,0.0,0.0,0.0,global_sop_supra_n_series_all_pm_heater_chuck|global_sop_supra_n_series_all_pm_gas_spring|global_sop_supra_n_series_all_tm_robot|global_sop_supra_n_series_all_tm_ffu|global_sop_geneva_xp_rep_pm_mfc|global_sop_integer_plus_all_am_slot_valve|global_sop_integer_plus_all_pm_slot_valve,True
A-gs110,test,explicit_device,B0,ok,,troubleshooting,device,SUPRA_XP,,True,True,,,,1,34.9,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.8,0.5,0.3,1.0,0.0,0.0,global_sop_geneva_xp_all_8계통_check|global_sop_precia_all_tm_branch_tap|global_sop_precia_all_pm_device_net_board|global_sop_supra_n_series_all_tm_branch_tap|global_sop_supra_n_all_tm_sensor_board|global_sop_integer_plus_all_am_vacuum_line|global_sop_integer_plus_all_am_interface_board|global_sop_supra_n_series_all_tm_fluorescent_lamp,True
A-gs110,test,explicit_device,B2,ok,,troubleshooting,device,SUPRA_XP,,True,True,,,,1,58.14,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.8,0.5,0.3,1.0,0.0,0.0,global_sop_geneva_xp_all_8계통_check|global_sop_precia_all_tm_branch_tap|global_sop_supra_n_series_all_tm_branch_tap|global_sop_supra_n_all_tm_sensor_board|global_sop_precia_all_pm_device_net_board|global_sop_integer_plus_all_am_vacuum_line|global_sop_integer_plus_all_am_interface_board|global_sop_supra_n_series_all_tm_fluorescent_lamp,True
A-gs110,test,explicit_device,B4,ok,,troubleshooting,device,SUPRA_XP,,True,True,,,,1,232.7,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.8,0.5,0.3,1.0,0.0,0.0,global_sop_supra_n_all_tm_sensor_board|global_sop_precia_all_tm_branch_tap|global_sop_precia_all_pm_device_net_board|global_sop_supra_n_series_all_tm_branch_tap|global_sop_integer_plus_all_am_vacuum_line|global_sop_integer_plus_all_am_interface_board|global_sop_supra_n_series_all_tm_fluorescent_lamp|global_sop_geneva_xp_all_8계통_check,True
A-gs110,test,explicit_device,P1,ok,,troubleshooting,device,SUPRA_XP,,True,True,,,,1,239.26,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,global_sop_supra_n_all_tm_sensor_board|global_sop_precia_all_pm_device_net_board|global_sop_supra_xp_all_pm_device_net_board|global_sop_supra_n_series_all_pm_device_net_board|global_sop_precia_all_tm_device_net_board|global_sop_supra_n_series_all_tm_robot|global_sop_geneva_xp_rep_efem_ffu|global_sop_supra_vplus_all_pm_controller|global_sop_supra_n_series_all_tm_fluorescent_lamp,True
A-sop002,test,explicit_device,B0,ok,,procedure,device,SUPRA_XP,,True,True,ZEDIUS XP,,ZEDIUS XP,2,25.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.2,0.4,1.0,1.0,0.2,0.2,0.2,1.0,1.0,0.2,global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_robot_sr8241|global_sop_supra_xp_all_pm_pin_assy|global_sop_supra_xp_all_pm_temp_controller|supra_xp_all_trouble_shooting_guide_trace_ctc_abnormal,True
A-sop002,test,explicit_device,B2,ok,,procedure,device,SUPRA_XP,,True,True,ZEDIUS XP,,ZEDIUS XP,2,55.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,0.2,0.4,1.0,1.0,0.1,0.1,0.2,1.0,1.0,0.25,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_efem_robot_sr8241|global_sop_supra_xp_all_pm_temp_controller|global_sop_supra_xp_all_pm_pin_assy,True
A-sop002,test,explicit_device,B4,ok,,procedure,device,SUPRA_XP,,True,True,ZEDIUS XP,,ZEDIUS XP,2,196.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu|global_sop_supra_xp_all_pm_pin_assy|global_sop_supra_xp_all_efem_pressure_switch|global_sop_supra_xp_all_efem_robot_sr8241,True
A-sop002,test,explicit_device,P1,ok,,procedure,device,SUPRA_XP,,True,True,ZEDIUS XP,,ZEDIUS XP,2,228.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,global_sop_supra_xp_all_efem_controller|global_sop_supra_xp_all_efem_ffu,True
A-sop011,test,explicit_device,B0,ok,,information_lookup,device,SUPRA_XP,,True,True,SUPRA XP,,SUPRA XP,2,34.21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,global_sop_supra_xp_all_ll_cip|global_sop_supra_xp_all_ll_pin_modify_eng,True
A-sop011,test,explicit_device,B2,ok,,information_lookup,device,SUPRA_XP,,True,True,SUPRA XP,,SUPRA XP,2,81.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,global_sop_supra_xp_all_ll_cip|global_sop_supra_xp_all_ll_pin_modify_eng,True
A-sop011,test,explicit_device,B4,ok,,information_lookup,device,SUPRA_XP,,True,True,SUPRA XP,,SUPRA XP,2,107.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,global_sop_supra_xp_all_ll_cip|global_sop_supra_xp_all_ll_pin_modify_eng,True
