device_a,device_b,shared_keyword_count,jaccard_similarity,same_family_seed,evidence_type,notes
SUPRA_III,SUPRA_IV,470,0.4284,True,keyword_overlap,
SUPRA_IV,SUPRA_V,578,0.3989,True,keyword_overlap,
SUPRA_III,SUPRA_V,525,0.3927,True,keyword_overlap,
SUPRA_III,TERA21,428,0.3517,False,keyword_overlap,
SUPRA_IV,SUPRA_NM,359,0.3309,True,keyword_overlap,
SUPRA_III,SUPRA_NM,317,0.3295,True,keyword_overlap,
SUPRA_IV,TERA21,438,0.3192,False,keyword_overlap,
SUPRA_V,SUPRA_VM,604,0.3162,True,keyword_overlap,
SUPRA_NM,ZEDIUS_XP,260,0.311,False,keyword_overlap,
SUPRA_V,TERA21,485,0.2994,False,keyword_overlap,
SUPRA_NM,SUPRA_V,393,0.292,True,keyword_overlap,
OMNIS,OMNIS_PLUS,364,0.2882,True,keyword_overlap,
SUPRA_IV,SUPRA_VM,495,0.2871,True,keyword_overlap,
SUPRA_III,ZEDIUS_XP,270,0.2845,False,keyword_overlap,
SUPRA_III,SUPRA_VM,452,0.2821,True,keyword_overlap,
SUPRA_VM,TERA21,500,0.2782,False,keyword_overlap,
SUPRA_NM,TERA21,329,0.2758,False,keyword_overlap,
SUPRA_NM,TIGMA_VM,228,0.2724,False,keyword_overlap,
SUPRA_IV,TIGMA_VPLUS,391,0.2708,False,keyword_overlap,
SUPRA_NM,SUPRA_VM,410,0.2696,True,keyword_overlap,
SUPRA_III,TIGMA_VPLUS,352,0.2671,False,keyword_overlap,
SUPRA_V,SUPRA_VPLUS,812,0.2624,True,keyword_overlap,
SUPRA_VM,SUPRA_XP,658,0.2623,True,keyword_overlap,
SUPRA_VM,SUPRA_VPLUS,843,0.259,True,keyword_overlap,
SUPRA_V,TIGMA_VPLUS,438,0.2589,False,keyword_overlap,
INTEGER_IVR,INTEGER_XP,177,0.2576,True,keyword_overlap,
INTEGER_IVR,INTEGER_PLUS,352,0.2564,True,keyword_overlap,
SUPRA_IV,ZEDIUS_XP,280,0.2536,False,keyword_overlap,
INTEGER_XP,ZEDIUS_XP,181,0.2521,False,keyword_overlap,
DAS2000,SUPRA_NM,196,0.2506,False,keyword_overlap,
SUPRA_N,SUPRA_VPLUS,1306,0.2506,True,keyword_overlap,
PRECIA,SUPRA_III,355,0.2484,False,keyword_overlap,
INTEGER_XP,SUPRA_NM,190,0.2471,False,keyword_overlap,
