doc_id,device_name_raw,device_name_norm,doc_type_raw,doc_type_norm,topic,chunk_count,scope_level_gold,is_shared_gold,shared_scope_type_gold
global_sop_integer_plus_all_efem_pio_sensor_board,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_pio_sensor_board,16,device,True,multi_device
global_sop_integer_plus_all_pm_source_box_board,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_source_box_board,16,device,True,multi_device
global_sop_integer_plus_all_pm_dc_cooling_fan_motor,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_dc_cooling_fan_motor,16,device,False,none
global_sop_supra_n_series_all_efem_fluorescent_lamp,SUPRA N series,SUPRA_N,SOP,sop,efem_fluorescent_lamp,16,device,True,multi_device
global_sop_omnis_plus_adj_pm_rf_power_on_test_eng,OMNIS plus,OMNIS_PLUS,SOP,sop,pm_rf_power_on_test_eng,17,device,False,none
global_sop_precia_all_pm_prevent_maintenance,PRECIA,PRECIA,SOP,sop,pm_prevent_maintenance,108,device,False,none
global_sop_supra_n_series_sw_all_sw_installation_setting,SUPRA N series,SUPRA_N,SOP,sop,all_sw_installation_setting,84,device,True,multi_device
global_sop_supra_xp_all_pm_prism_source_3100qc,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_prism_source_3100qc,72,device,False,none
global_sop_supra_xp_all_pm_prism_source,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_prism_source,70,device,False,none
global_sop_supra_xp_all_sub_unit_igs_block,ZEDIUS XP,SUPRA_XP,SOP,sop,sub_unit_igs_block,71,device,True,multi_device
global_sop_integer_plus_all_ll_stepping_motor,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_stepping_motor,68,device,False,none
global_sop_supra_xp_all_efem_ffu,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_ffu,60,device,True,global
global_sop_precia_all_pm_lift_pin,PRECIA,PRECIA,SOP,sop,pm_lift_pin,57,device,False,none
global_sop_supra_xp_all_pm_prism_source_3000qc,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_prism_source_3000qc,82,device,False,none
global_sop_integer_plus_all_ll_vacuum_line,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_vacuum_line,77,device,False,none
global_sop_supra_xp_all_pm_preventive_maintenance,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_preventive_maintenance,75,device,False,none
global_sop_supra_n_series_all_tm_wafer_sensor,SUPRA N series,SUPRA_N,SOP,sop,tm_wafer_sensor,25,device,False,none
global_sop_integer_plus_all_pm_igs_block,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_igs_block,26,device,False,none
global_sop_supra_n_series_all_pm_isolation_valve,SUPRA N series,SUPRA_N,SOP,sop,pm_isolation_valve,25,device,False,none
global_sop_precia_all_pm_slot_valve,PRECIA,PRECIA,SOP,sop,pm_slot_valve,36,device,True,multi_device
global_sop_precia_all_efem_rfid,PRECIA,PRECIA,SOP,sop,efem_rfid,35,device,False,none
global_sop_supra_xp_all_efem_robot_sr8241,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_robot_sr8241,34,device,False,none
global_sop_supra_xp_all_tm_device_net_board,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_device_net_board,35,device,True,multi_device
global_sop_supra_xp_all_pm_device_net_board,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_device_net_board,33,device,True,multi_device
global_sop_supra_xp_all_pm_pressure_gauge,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_pressure_gauge,34,device,True,multi_device
global_sop_supra_xp_all_pm_baratron_gauge,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_baratron_gauge,33,device,True,multi_device
global_sop_supra_n_series_all_pcw_turn_on,SUPRA N series,SUPRA_N,SOP,sop,pcw_turn_on,31,device,False,none
global_sop_precia_all_pm_pendulum_valve,PRECIA,PRECIA,SOP,sop,pm_pendulum_valve,32,device,True,multi_device
global_sop_supra_xp_all_pm_manometer,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_manometer,32,device,True,multi_device
global_sop_supra_xp_all_pm_flow_switch,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_flow_switch,32,device,True,multi_device
global_sop_supra_xp_all_efem_rfid_assy,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_rfid_assy,32,device,True,multi_device
global_sop_supra_xp_all_pm_heater_chuck,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_heater_chuck,49,device,True,multi_device
global_sop_supra_xp_all_tm_pressure_gauge,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_pressure_gauge,31,device,False,none
global_sop_supra_xp_all_ll_flow_switch,ZEDIUS XP,SUPRA_XP,SOP,sop,ll_flow_switch,30,device,False,none
global_sop_supra_xp_all_efem_pressure_switch,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_pressure_switch,31,device,False,none
global_sop_supra_n_series_all_efem_pressure_vacuum_switch,SUPRA N series,SUPRA_N,SOP,sop,efem_pressure_vacuum_switch,29,device,False,none
global_sop_supra_v_modify_all_air_tube,SUPRA V,SUPRA_V,SOP,sop,air_tube,29,device,False,none
global_sop_supra_xp_all_ll_pressure_gauge,ZEDIUS XP,SUPRA_XP,SOP,sop,ll_pressure_gauge,28,device,False,none
global_sop_precia_all_tm_pressure_switch,PRECIA,PRECIA,SOP,sop,tm_pressure_switch,27,device,False,none
global_sop_integer_plus_all_efem_controller,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_controller,28,device,True,multi_device
global_sop_integer_plus_all_tm_vacuum_line,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_vacuum_line,26,device,False,none
global_sop_omnis_plus_set_up_pm_docking_eng,OMNIS plus,OMNIS_PLUS,SOP,sop,global_sop_omnis_plus_set_up_pm_docking_eng,14,device,False,none
global_sop_supra_xp_all_efem_pio_sensor_board,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_pio_sensor_board,14,device,True,multi_device
global_sop_supra_xp_all_pm_source_box_board,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_source_box_board,15,device,True,multi_device
global_sop_integer_plus_all_tm_quick_connector,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_quick_connector,14,device,False,none
global_sop_integer_plus_all_pm_h2_gas_leak_detector,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_h2_gas_leak_detector,17,device,False,none
global_sop_integer_plus_all_pm_quick_connector,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_quick_connector,17,device,False,none
global_sop_integer_plus_all_tm_u_til_online_program,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_u_til_online_program,17,device,False,none
global_sop_supra_xp_all_efem_ionizer,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_ionizer,17,device,False,none
global_sop_integer_plus_all_efem_selector_switch,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_selector_switch,15,device,False,none
global_sop_supra_xp_all_pm_rf_matcher,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_rf_matcher,24,device,False,none
