topic,doc_id,doc_type_norm,device_name_norm,candidate_devices,device_count,is_shared_gold,shared_scope_type_gold
efem_pio_sensor_board,global_sop_integer_plus_all_efem_pio_sensor_board,sop,INTEGER_PLUS,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
pm_source_box_board,global_sop_integer_plus_all_pm_source_box_board,sop,INTEGER_PLUS,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
efem_fluorescent_lamp,global_sop_supra_n_series_all_efem_fluorescent_lamp,sop,SUPRA_N,PRECIA|SUPRA_N,2,True,multi_device
all_sw_installation_setting,global_sop_supra_n_series_sw_all_sw_installation_setting,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
sub_unit_igs_block,global_sop_supra_xp_all_sub_unit_igs_block,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
efem_ffu,global_sop_supra_xp_all_efem_ffu,sop,SUPRA_XP,GENEVA_XP|INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,5,True,global
pm_slot_valve,global_sop_precia_all_pm_slot_valve,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_device_net_board,global_sop_supra_xp_all_tm_device_net_board,sop,SUPRA_XP,PRECIA|SUPRA_XP,2,True,multi_device
pm_device_net_board,global_sop_supra_xp_all_pm_device_net_board,sop,SUPRA_XP,PRECIA|SUPRA_N|SUPRA_XP,3,True,multi_device
pm_pressure_gauge,global_sop_supra_xp_all_pm_pressure_gauge,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_baratron_gauge,global_sop_supra_xp_all_pm_baratron_gauge,sop,SUPRA_XP,PRECIA|SUPRA_XP,2,True,multi_device
pm_pendulum_valve,global_sop_precia_all_pm_pendulum_valve,sop,PRECIA,PRECIA|SUPRA_XP,2,True,multi_device
pm_manometer,global_sop_supra_xp_all_pm_manometer,sop,SUPRA_XP,INTEGER_PLUS|PRECIA|SUPRA_XP,3,True,multi_device
pm_flow_switch,global_sop_supra_xp_all_pm_flow_switch,sop,SUPRA_XP,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
efem_rfid_assy,global_sop_supra_xp_all_efem_rfid_assy,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_heater_chuck,global_sop_supra_xp_all_pm_heater_chuck,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
efem_controller,global_sop_integer_plus_all_efem_controller,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
efem_pio_sensor_board,global_sop_supra_xp_all_efem_pio_sensor_board,sop,SUPRA_XP,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
pm_source_box_board,global_sop_supra_xp_all_pm_source_box_board,sop,SUPRA_XP,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
pm_mfc,global_sop_precia_all_pm_mfc,sop,PRECIA,GENEVA_XP|PRECIA,2,True,multi_device
sub_unit_gas_box_board,global_sop_supra_n_series_all_sub_unit_gas_box_board,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_baratron_gauge,global_sop_precia_all_pm_baratron_gauge,sop,PRECIA,PRECIA|SUPRA_XP,2,True,multi_device
tm_robot,global_sop_supra_xp_all_tm_robot,sop,SUPRA_XP,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
pm_pressure_gauge,global_sop_supra_n_series_all_pm_pressure_gauge,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
efem_ffu,global_sop_precia_all_efem_ffu,sop,PRECIA,GENEVA_XP|INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,5,True,global
efem_controller,global_sop_supra_xp_all_efem_controller,sop,SUPRA_XP,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
tm_ctc,global_sop_supra_xp_all_tm_ctc,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_controller,global_sop_supra_vplus_all_pm_controller,sop,SUPRA_VPLUS,GENEVA_XP|SUPRA_VPLUS,2,True,multi_device
pm_dual_epd,global_sop_supra_xp_all_pm_dual_epd,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_slot_valve,global_sop_integer_plus_all_pm_slot_valve,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
pm_pirani_gauge,global_sop_supra_xp_all_pm_pirani_gauge,sop,SUPRA_XP,PRECIA|SUPRA_XP,2,True,multi_device
tm_slot_valve,global_sop_precia_all_tm_slot_valve,sop,PRECIA,PRECIA|SUPRA_XP,2,True,multi_device
pm_pirani_gauge,global_sop_precia_all_pm_pirani_gauge,sop,PRECIA,PRECIA|SUPRA_XP,2,True,multi_device
pm_pneumatic_valve,global_sop_integer_plus_all_pm_pneumatic_valve,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_slot_valve,global_sop_supra_xp_all_tm_slot_valve,sop,SUPRA_XP,PRECIA|SUPRA_XP,2,True,multi_device
pm_manometer,global_sop_precia_all_pm_manometer,sop,PRECIA,INTEGER_PLUS|PRECIA|SUPRA_XP,3,True,multi_device
pm_solenoid_valve,global_sop_precia_all_pm_solenoid_valve,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
all_undocking,global_sop_supra_vplus_adj_all_undocking,sop,SUPRA_VPLUS,PRECIA|SUPRA_N|SUPRA_VPLUS,3,True,multi_device
all_power_turn_on_off,global_sop_supra_vplus_adj_all_power_turn_on_off,sop,SUPRA_VPLUS,SUPRA_N|SUPRA_VPLUS,2,True,multi_device
efem_fluorescent_lamp,global_sop_precia_all_efem_fluorescent_lamp,sop,PRECIA,PRECIA|SUPRA_N,2,True,multi_device
tm_solenoid_valve,global_sop_integer_plus_all_tm_solenoid_valve,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
pm_gas_spring,global_sop_integer_plus_all_pm_gas_spring,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
pm_flow_switch,global_sop_integer_plus_all_pm_flow_switch,sop,INTEGER_PLUS,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
all_undocking,global_sop_precia_adj_all_undocking,sop,PRECIA,PRECIA|SUPRA_N|SUPRA_VPLUS,3,True,multi_device
pm_gas_spring,global_sop_precia_all_pm_gas_spring,sop,PRECIA,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
sub_unit_gas_box_board,global_sop_supra_xp_all_sub_unit_gas_box_board,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
